  likeliklyhood    time   words   iteration
     -911238.40  254.27      23           0
     -321756.60  250.47      32           1
     -319156.00  258.13      34           2
     -316733.80  252.56      32           3
     -313773.40  266.50      35           4
     -309612.60  257.37      38           5
     -302813.40  259.98      55           6
     -291356.80  263.25      61           7
     -272082.80  274.52      41           8
     -243663.60  285.04      37           9
     -213854.00  290.30      16          10
     -188096.00  265.14       7          11
     -163091.90  242.25       8          12
     -145079.20  187.37       8          13
     -135508.10  145.98       2          14
     -128346.10  117.28      10          15
     -120080.90   83.45       3          16
     -111203.50   65.89       8          17
     -104457.00   51.66       7          18
      -99916.46   40.18      16          19
      -96543.48   33.49      10          20
      -94741.86   27.24      12          21
      -93608.24   22.74      10          22
      -92816.63   22.18      14          23
      -92074.51   22.29      20          24
      -91468.35   22.02      12          25
      -90952.04   21.69      14          26
      -90508.63   21.26      16          27
      -90150.83   21.18      19          28
      -89849.15   20.73      16          29
      -89636.34   21.11      18          30
      -89301.79   20.24      23          31
      -88980.39   20.21      16          32
      -88671.08   20.41      30          33
      -88370.07   19.90      22          34
      -88118.63   19.47      17          35
      -87812.40   20.01      21          36
      -87513.28   19.19      27          37
      -87252.80   18.57      18          38
      -86957.31   18.65      23          39
      -86728.31   18.21      21          40
      -86418.20   17.80      16          41
      -86129.46   17.76      13          42
      -85841.83   18.46      22          43
      -85682.46   17.50      22          44
      -85515.53   17.03      23          45
      -85242.09   16.60      26          46
      -85046.18   17.18      19          47
      -84822.34   16.21      23          48
      -84591.01   16.69      23          49
      -84411.88   15.73      24          50
      -84277.25   16.62      26          51
      -84074.99   15.46      22          52
      -83955.08   15.29      24          53
      -83742.19   15.27      25          54
      -83429.16   15.28      21          55
      -83227.44   14.83      25          56
      -83066.46   14.78      27          57
      -82919.58   14.65      30          58
      -82799.16   14.54      23          59
      -82647.51   15.76      21          60
      -82574.62   14.56      15          61
      -82287.23   14.31      24          62
      -82052.27   14.13      18          63
      -81846.22   14.18      15          64
      -81732.64   14.96      16          65
      -81547.24   14.25      12          66
      -81505.32   14.37      20          67
      -81316.18   14.09      20          68
      -81216.98   13.92      21          69
      -81041.91   13.93      19          70
      -80948.32   15.09      18          71
      -80819.15   14.43      16          72
      -80741.38   13.59      19          73
      -80686.87   13.42      26          74
      -80648.06   13.33      21          75
      -80581.89   13.39      23          76
      -80542.69   13.77      13          77
      -80489.66   13.29      26          78
      -80358.88   13.32      19          79
      -80282.21   13.12      23          80
      -80198.83   13.09      21          81
      -80112.66   12.76      24          82
      -79992.31   12.53      24          83
      -79867.73   14.03      19          84
      -79697.22   12.55      17          85
      -79619.27   12.64      19          86
      -79510.45   12.58      23          87
      -79390.15   12.39      29          88
      -79246.76   12.43      29          89
      -79155.04   12.32      23          90
      -79071.17   12.82      22          91
      -78962.01   12.39      28          92
      -78943.42   12.61      17          93
      -78808.93   12.39      18          94
      -78675.16   12.89      22          95
      -78667.39   12.36      27          96
      -78595.18   12.14      33          97
      -78483.13   12.16      16          98
      -78426.66   14.29      19          99
      -78413.08   12.18      17         100
      -78370.91   12.27      19         101
      -78327.61   11.95      20         102
      -78280.70   12.04      25         103
      -78279.65   11.95      22         104
      -78301.86   11.90      16         105
      -78265.15   11.88      19         106
      -78257.82   12.47      27         107
      -78219.46   11.75      21         108
      -78190.39   11.97      23         109
      -78150.82   11.87      21         110
      -78156.53   11.85      17         111
      -78123.68   11.77      27         112
      -78136.38   11.81      21         113
      -78097.33   11.63      14         114
      -78143.84   11.38      21         115
      -78113.40   13.11      21         116
      -78139.24   11.61      19         117
      -78125.68   11.33      18         118
      -78175.48   11.40      26         119
      -78146.56   11.19      22         120
      -78129.32   11.03      23         121
      -78138.32   11.12      29         122
      -78195.53   11.03      25         123
      -78237.64   11.02      20         124
      -78242.71   11.58      24         125
      -78284.24   10.91      19         126
      -78264.86   11.10      22         127
      -78269.57   10.89      24         128
      -78271.65   10.97      28         129
      -78277.17   10.95      29         130
      -78267.06   10.92      29         131
      -78264.02   10.88      22         132
      -78263.72   10.81      23         133
      -78267.46   10.90      32         134
      -78254.27   10.61      27         135
      -78281.89   11.97      28         136
      -78290.55   10.85      20         137
      -78304.48   12.38      18         138
      -78277.69   10.75      17         139
      -78305.12   10.41      20         140
      -78299.00   10.39      21         141
      -78297.41   10.13      17         142
      -78317.70   10.33      23         143
      -78299.05   10.13      22         144
      -78274.52    9.98      19         145
      -78246.87   10.07      17         146
